	id	text	HS	TR	AG
0	201	murray save u many way potus realdonaldtrump lockthemup build wall enddaca boycottnfl boycott nike	1	0	0
1	202	would young fight age men vast majority one escape war camp fight like woman child elderlyits majority refugees actually refugees economic migrant try get europe	1	0	0
2	203	kamala harris illegals jump kid border like road refuse unite hope get amnesty free education welfare illegal fa mile belong together country taxpayer time scam nodaca amnesty sendthe	1	0	0
3	204	time early white state lose array problem immigrant	0	0	0
4	205	urban brussels european leader ignore people want migrant	0	0	0
5	206	kurt schlichter legal illegal buildthatwall	1	0	0
6	207	rita panahi maureen real candace antifa pack druggie misfits one love violent thug cry attention hit self importance juvenile delinquent	0	0	0
7	208	ex teacher lead guilty rape charge	0	0	0
8	209	still place bengali sylheti class london language know anyone interested sbsisters refugee council docsnotcops	0	0	0
9	210	fid africa regional profile july	0	0	0
10	211	watch benjamin netanyahu back trump decision cut aid palestinian unrwa free speech time support israel	0	0	0
11	212	realdonaldtrump housegop illegals dump kid get welfare aid u school rip u taxpayer send back stop blowing illegal abuse taxpayer immigration via breitbart news	1	0	1
12	213	costa rica receive asylum claim panama mexico usa also record grow trend claim nicaraguan need international refugee protection	0	0	0
13	214	immigrant policy enter always education skill camp sponsor take responsibility last yr take many education mean support many never learn english watch camp release many go welfare	0	0	0
14	215	italy populist coalition poise defy plan deport migrant	0	0	0
15	216	lithuania romania aid cia torture top european union court rule court joke silent europe destroy force islamist immigration	1	0	1
16	217	world bank report next year many refugee leave homeland specially africa fee europe able shoot protect homeland destroy african	1	0	1
17	218	rich african country take african migrant rich muslim country take muslim migrant rich latin american country dont take latin migrant white country suppose accept	1	0	0
18	219	new research uncovers successes failure uk ’ help syrian immigrant	0	0	0
19	220	immigration u million migrant allow family also money leave pay passage get uk	0	0	0
20	221	nbc news msnbc jacob oboroff dateline nbc close tunnel gunpowder	0	0	0
21	222	hitler leave stain germany atrocity commit news trump leave stain america atrocity hes commit immigrant family hope reenactment nuremberg trial end reign inhumane	0	0	0
